0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018279769952716993,0.0,0.0,1.0,0.014847600488746244,0.010126192044894818,1.0,1.0,0.012293205096002843,1.0,1.0,1.0,0.02105690032142822,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01466401041954779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015132519096977127,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01336917077465646,1.0,1.0,0.01412986021486434,1.0,1.0,0.0,0.0,0.0,1.0,0.012182736643013085,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.014073165789880226,0.0,1.0,1.0,0.0,0.013121543776395843,1.0,1.0,0.0,1.0,0.0166257825044543,0.0,1.0,0.0,0.0100387472030484,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0149330003783476,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018279769952716993,0.0,0.0,1.0,0.014847600488746244,0.010126192044894818,1.0,1.0,0.012293205096002843,1.0,1.0,1.0,0.02105690032142822,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01466401041954779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015132519096977127,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01336917077465646,1.0,1.0,0.01412986021486434,1.0,1.0,0.0,0.0,0.0,1.0,0.012182736643013085,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.014073165789880226,0.0,1.0,1.0,0.0,0.013121543776395843,1.0,1.0,0.0,1.0,0.0166257825044543,0.0,1.0,0.0,0.0100387472030484,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0149330003783476,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018279769952716993,0.0,0.0,1.0,0.014847600488746244,0.010126192044894818,1.0,1.0,0.012293205096002843,1.0,1.0,1.0,0.02105690032142822,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01466401041954779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015132519096977127,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01336917077465646,1.0,1.0,0.01412986021486434,1.0,1.0,0.0,0.0,0.0,1.0,0.012182736643013085,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.014073165789880226,0.0,1.0,1.0,0.0,0.013121543776395843,1.0,1.0,0.0,1.0,0.0166257825044543,0.0,1.0,0.0,0.0100387472030484,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0149330003783476,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018279769952716993,0.0,0.0,1.0,0.014847600488746244,0.010126192044894818,1.0,1.0,0.012293205096002843,1.0,1.0,1.0,0.02105690032142822,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01466401041954779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015132519096977127,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01336917077465646,1.0,1.0,0.01412986021486434,1.0,1.0,0.0,0.0,0.0,1.0,0.012182736643013085,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.014073165789880226,0.0,1.0,1.0,0.0,0.013121543776395843,1.0,1.0,0.0,1.0,0.0166257825044543,0.0,1.0,0.0,0.0100387472030484,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0149330003783476,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018279769952716993,0.0,0.0,1.0,0.014847600488746244,0.010126192044894818,1.0,1.0,0.012293205096002843,1.0,1.0,1.0,0.02105690032142822,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01466401041954779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015132519096977127,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01336917077465646,1.0,1.0,0.01412986021486434,1.0,1.0,0.0,0.0,0.0,1.0,0.012182736643013085,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.014073165789880226,0.0,1.0,1.0,0.0,0.013121543776395843,1.0,1.0,0.0,1.0,0.0166257825044543,0.0,1.0,0.0,0.0100387472030484,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0149330003783476,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06779106803992802,0.0,0.0,0.0,0.0,1.0,0.17938750968146489,0.0,0.0,0.0806918258168263,0.05223862305842668,0.0,0.0,0.0,0.0,0.0,0.08732115877461365,0.0,0.0,0.1082904264452115,0.09738182828255947,0.0,0.0,0.0,0.0,0.0,0.06461172096994035,0.2345728772876002,0.05723807988535124,0.0,0.08177114115676981,0.026658166522360926,0.03412858461308371,0.0,0.03821725096078825,0.03291753468150955,0.0,0.0,0.05980185049521361,0.0,0.0,0.0,0.14814314681973167,0.0,0.23477431905975918,0.0,0.0,0.0,0.0,0.0,0.0,0.0777034319583661,0.030504299831135274,0.0,0.06898165356159755,0.0,0.0,0.0,0.13645989416049545,0.0,0.05178408909664069,0.0,0.03499755890932422,0.0,0.0,0.008115680488552289,0.06861764707749765,0.0,0.0,0.11337831363577533,0.0,0.06569741929473762,0.0,0.0,0.0,0.09997423597732003,0.08550636475571062,0.0,0.0,0.0,0.07548964649736083,0.03716554688669284,0.049413240843489754,0.12252850279718898,0.0516498530160416,0.0,0.0,0.0,0.0,0.2801545471994793,0.0,0.0,0.0,0.08719393548731237,0.06362003562434417,0.0,0.20816968403782002,0.0,0.17066387889162427,0.002242703138525885,0.014103665516991066,0.0,0.024248683839734757,0.0,0.0,0.18271984672702166,0.0889912381920325,0.043561073067605816,0.0,0.043428230886387545,0.10735634312267268,0.06665904617155438,0.0,0.04116635452973901,0.0,0.0,0.03851729476827796,0.0,0.0,0.024313507866408006,0.07001360302607156,0.029936528450274447,0.0,0.060998451878508754,0.0,0.0,0.12570795515908287,0.0,0.0,0.0,0.10341354531346617,0.0,0.0,0.0,0.18102340341708875,0.0,0.07216820455959076,0.0,0.11751877768428973,0.0,0.0865198593463901,0.08378644910392812,0.0,0.06687615151931565,0.04591301882873323,0.027837322331633014,0.11959438042246419,0.12904370179302904,0.054855068928323474,0.0,0.0,0.0,0.08782355356914304,0.0,0.07387569122741526,0.0,0.019699111318658275,0.0,0.17503602323360953,0.0,0.0,0.0,0.05276826827864458,0.003760189953728226,0.0,0.0,0.022205873638865073,0.045367673467507245,0.0,0.0,0.18746477137079873,0.0,0.05840722007314944,0.04578625277584334,0.0,0.2679545986566778,0.05792209141325786,0.029291914196968877,0.0,0.0,0.0,0.0,0.0,0.03992430332550368,0.0,0.025447095970830544,0.026643045856633477,0.05511331498190519,0.053277491522108915,0.0,0.026158293037481704,0.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018279769952716993,0.0,0.0,1.0,0.014847600488746244,0.010126192044894818,1.0,1.0,0.012293205096002843,1.0,1.0,1.0,0.02105690032142822,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01466401041954779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015132519096977127,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01336917077465646,1.0,1.0,0.01412986021486434,1.0,1.0,0.0,0.0,0.0,1.0,0.012182736643013085,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.014073165789880226,0.0,1.0,1.0,0.0,0.013121543776395843,1.0,1.0,0.0,1.0,0.0166257825044543,0.0,1.0,0.0,0.0100387472030484,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0149330003783476,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018279769952716993,0.0,0.0,1.0,0.014847600488746244,0.010126192044894818,1.0,1.0,0.012293205096002843,1.0,1.0,1.0,0.02105690032142822,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01466401041954779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015132519096977127,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01336917077465646,1.0,1.0,0.01412986021486434,1.0,1.0,0.0,0.0,0.0,1.0,0.012182736643013085,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.014073165789880226,0.0,1.0,1.0,0.0,0.013121543776395843,1.0,1.0,0.0,1.0,0.0166257825044543,0.0,1.0,0.0,0.0100387472030484,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0149330003783476,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.06779106803992802,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.06779106803992802,0.04463925603327182,0.0,0.0,0.09899779469366357,0.03339276357124902,0.0,0.0,0.0,0.0,0.0,0.14845550495172732,0.0,0.0,0.05177219132400488,0.03447619469792267,0.0,0.0,0.0,0.0,0.0,0.058175403920494674,0.09678551909069437,0.04318820158724931,0.0,0.03302698640203125,0.019324940840918993,0.07460944653292073,0.0,0.0153475185744316,0.01747660787056646,0.0,0.0,0.08617429801706095,0.0,0.0,0.0,0.10898663988747136,0.0,0.10203093513911124,0.0,0.0,0.0,0.0,0.0,0.0,0.15311249818752395,0.05335237145681761,0.0,0.07675830145806772,0.0,0.0,0.0,0.036319590448418294,0.0,0.038679110002512215,0.0,0.0387900594911421,0.0,0.0,0.0255375079597563,0.04406416320872584,0.0,0.0,0.06551961266651757,0.0,0.03095157018155459,0.0,0.0,0.0,0.04506431976162643,0.041428928220042384,0.0,0.0,0.0,0.027362816425869935,0.012194804827725858,0.02928184209690018,0.030185819010121663,0.07475444776194305,0.0,0.0,0.0,0.0,0.07258560563939503,0.0,0.0,0.0,0.05383145830234253,0.0070958875113230156,0.0,0.11058557753559571,0.0,0.06878148981158408,0.1092489270398928,0.06160645293432011,0.0,0.04932443419451452,0.0,0.0,0.0411620326934286,0.048385027651921465,0.04032497277724115,0.0,0.04797610672134079,0.0640005887427646,0.08303740693483302,0.0,0.06650830568785614,0.0,0.0,0.031611854349188034,0.0,0.0,0.13113195553403623,0.04949880045090411,0.025804556883424107,0.0,0.020395567144110494,0.0,0.0,0.04830417618091063,0.0,0.0,0.0,0.03474120413075844,0.0,0.0,0.0,0.11365720409682736,0.0,0.033470148631700315,0.0,0.1991656439255506,0.0,0.03191463316683311,0.06959453348871121,0.0,0.19829473083090532,0.08543080831667091,0.013934672356498505,0.2028619749185249,0.052239535439203774,0.06826362338436436,0.0,0.0,0.0,0.02048588618435603,0.0,0.03286154798222197,0.0,0.04927786479101254,0.0,0.08054866616323063,0.0,0.0,0.0,0.043923441792035604,0.020833374696722844,0.0,0.0,0.13367473785577502,0.015506917048089068,0.0,0.0,0.11760845650077785,0.0,0.03240331366088868,0.07886388026153672,0.0,0.05427317419760378,0.035544361366423166,0.021957022597264775,0.0,0.0,0.0,0.0,0.0,0.01412080660349315,0.0,0.03340488936541776,0.01189974893408985,0.022471566421418183,0.06891145562792977,0.0,0.03765976633731301,0.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018279769952716993,0.0,0.0,1.0,0.014847600488746244,0.010126192044894818,1.0,1.0,0.012293205096002843,1.0,1.0,1.0,0.02105690032142822,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01466401041954779,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015132519096977127,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.01336917077465646,1.0,1.0,0.01412986021486434,1.0,1.0,0.0,0.0,0.0,1.0,0.012182736643013085,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.014073165789880226,0.0,1.0,1.0,0.0,0.013121543776395843,1.0,1.0,0.0,1.0,0.0166257825044543,0.0,1.0,0.0,0.0100387472030484,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0149330003783476,0.0,0.0,0.0,1.0,0.0,1.0
